REGION,YEAR,VALUE
"REGION1",2015,4262.88312298764
"REGION1",2016,4043.23966990643
"REGION1",2017,3836.0057439679
"REGION1",2018,3636.23255462999
"REGION1",2019,3460.37473026287
"REGION1",2020,3332.8102597491
"REGION1",2021,3765.46838067896
"REGION1",2022,4212.36535306137
"REGION1",2023,3160.69131376388
"REGION1",2024,4110.12553633672
"REGION1",2025,3504.12685950921
"REGION1",2026,2728.6607833821
"REGION1",2027,2545.11834354665
"REGION1",2028,2483.37314578673
"REGION1",2029,2512.12967287664
"REGION1",2030,5797.6270690841
"REGION1",2031,2786.10766282085
"REGION1",2032,2088.61844212963
"REGION1",2033,2164.89105959616
"REGION1",2034,2091.2715596613
"REGION1",2035,3594.96358380988
"REGION1",2036,2070.3812756218
"REGION1",2037,2053.73986485333
"REGION1",2038,2091.64938257401
"REGION1",2039,2039.15733276649
"REGION1",2040,2346.03008266801
"REGION1",2041,3000.5599902095
"REGION1",2042,1505.65891427804
"REGION1",2043,2040.19711084039
"REGION1",2044,1484.46725835894
"REGION1",2045,2105.05784983041
"REGION1",2046,1262.21775240879
"REGION1",2047,1425.82733668505
"REGION1",2048,1117.19090555256
"REGION1",2049,979.118394468479
"REGION1",2050,938.517015695288
"REGION1",2051,936.594881294942
"REGION1",2052,794.327932784792
"REGION1",2053,778.438450378303
"REGION1",2054,783.773524430615
"REGION1",2055,757.456008949179
"REGION1",2056,716.832567521532
"REGION1",2057,702.971957898504
"REGION1",2058,585.477418061721
"REGION1",2059,533.242232718668
"REGION1",2060,522.328127113355
